job_title,company,city,province,employment_type,experience_level,min_years_experience,max_years_experience,salary_min,salary_max,posting_date,source,source_url,description,skills_required
Junior Product Data Analyst,ShopLocal Marketplace,Toronto,ON,Full-time,Junior,1,2,63000,78000,2026-05-14,Sample Dataset,https://example.com/jobs/1020,"Analyze product usage, create funnel reports, and support marketplace growth experiments.","SQL; Python; Excel; Product Analytics; Data Visualization; A/B Testing"
Desktop Support Technician,Coastal Credit Union,Vancouver,BC,Full-time,Entry-level,0,2,49000,62000,2026-05-15,Sample Dataset,https://example.com/jobs/1021,"Install devices, resolve support tickets, and assist employees with Microsoft 365 tools.","Windows; Microsoft 365; Active Directory; Hardware Support; Customer Service; Ticketing Systems"
Junior BI Developer,Polar Foods,Saskatoon,SK,Full-time,Junior,1,3,60000,75000,2026-05-16,Sample Dataset,https://example.com/jobs/1022,"Maintain BI dashboards, model data, and support finance and operations reporting.","Power BI; SQL; Data Modeling; DAX; Excel; Documentation"
Business Process Analyst,Eastern Telecom,Quebec City,QC,Full-time,Junior,1,3,58000,73000,2026-05-17,Sample Dataset,https://example.com/jobs/1023,"Document business processes, identify inefficiencies, and support workflow improvement projects.","Process Mapping; Requirements Gathering; Excel; Stakeholder Management; Documentation; Jira"
Data Support Analyst,Ontario Education Analytics,London,ON,Contract,Entry-level,0,2,52000,65000,2026-05-18,Sample Dataset,https://example.com/jobs/1024,"Support data requests, validate extracts, and maintain reporting documentation.","SQL; Excel; Data Cleaning; Documentation; Communication; Data Quality"
Entry Level IT Analyst,Digital Prairie Co.,Regina,SK,Full-time,Entry-level,0,2,48000,61000,2026-05-19,Sample Dataset,https://example.com/jobs/1025,"Support internal applications, triage user tickets, and assist with access management.","Ticketing Systems; Troubleshooting; Customer Service; Active Directory; Microsoft 365; Documentation"
Junior Software Developer,NorthCode Labs,Toronto,ON,Full-time,Entry-level,0,2,70000,88000,2026-05-20,Sample Dataset,https://example.com/jobs/1026,"Build web application features, fix bugs, and collaborate with product and QA teams.","JavaScript; React; Git; SQL; HTML; CSS"
Full Stack Engineer,MapleStack Software,Vancouver,BC,Full-time,Junior,1,3,82000,105000,2026-05-21,Sample Dataset,https://example.com/jobs/1027,"Develop frontend and backend features for a SaaS workflow platform.","Python; FastAPI; React; TypeScript; SQL; Git"
Backend Developer,CloudRiver Platforms,Montreal,QC,Full-time,Junior,1,3,78000,99000,2026-05-22,Sample Dataset,https://example.com/jobs/1028,"Build APIs, integrate databases, and improve backend service reliability.","Python; Django; SQL; Git; API Development; Documentation"
Frontend Developer,WestPeak Digital,Calgary,AB,Full-time,Entry-level,0,2,68000,84000,2026-05-23,Sample Dataset,https://example.com/jobs/1029,"Create responsive user interfaces and partner with designers on product experiences.","JavaScript; React; TypeScript; HTML; CSS; Communication"
QA Automation Developer,Harbour QA Services,Halifax,NS,Full-time,Junior,1,3,65000,82000,2026-05-24,Sample Dataset,https://example.com/jobs/1030,"Write automated tests and support release quality for web applications.","Python; JavaScript; Git; Test Automation; Documentation; Troubleshooting"
Project Coordinator,Capital Projects Group,Ottawa,ON,Full-time,Entry-level,0,2,54000,68000,2026-05-25,Sample Dataset,https://example.com/jobs/1031,"Support project plans, meeting notes, risks, timelines, and stakeholder communication.","Project Management; Documentation; Stakeholder Communication; Excel; Jira; Risk Management"
Project Manager,BlueLake Construction Tech,Mississauga,ON,Full-time,Junior,1,4,72000,92000,2026-05-26,Sample Dataset,https://example.com/jobs/1032,"Manage cross-functional delivery plans, scope, budgets, and project risks.","Project Management; Budgeting; Risk Management; Leadership; Stakeholder Management; Communication"
Associate Product Manager,ShopNorth Marketplace,Toronto,ON,Full-time,Junior,1,3,76000,96000,2026-05-27,Sample Dataset,https://example.com/jobs/1033,"Prioritize product improvements, write user stories, and analyze feature adoption.","Product Analytics; User Stories; Stakeholder Management; SQL; Jira; Communication"
HR Coordinator,PeopleFirst Health,Winnipeg,MB,Full-time,Entry-level,0,2,47000,59000,2026-05-28,Sample Dataset,https://example.com/jobs/1034,"Coordinate onboarding, employee records, interviews, and HR documentation.","Onboarding; Interviewing; Documentation; Employee Relations; Excel; Communication"
HR Specialist,Northern Retail Group,Edmonton,AB,Full-time,Junior,1,3,56000,72000,2026-05-29,Sample Dataset,https://example.com/jobs/1035,"Support employee relations, benefits administration, HR reporting, and policy updates.","Employee Relations; Benefits Administration; Excel; Conflict Resolution; Documentation; Communication"
Recruiter,TechTalent Partners,Waterloo,ON,Full-time,Junior,1,3,58000,76000,2026-05-30,Sample Dataset,https://example.com/jobs/1036,"Source candidates, screen applicants, and manage hiring pipelines for technical teams.","Recruiting; Talent Acquisition; ATS; Interviewing; Stakeholder Management; Communication"
Marketing Coordinator,Coastal Brands,Vancouver,BC,Full-time,Entry-level,0,2,50000,64000,2026-05-31,Sample Dataset,https://example.com/jobs/1037,"Coordinate campaigns, maintain content calendars, and report on marketing performance.","Google Analytics; SEO; CRM; Excel; Communication; Market Research"
Digital Marketing Specialist,Prairie Media Co.,Regina,SK,Full-time,Junior,1,3,56000,72000,2026-06-01,Sample Dataset,https://example.com/jobs/1038,"Manage digital campaigns, analyze channel performance, and optimize website traffic.","Google Analytics; SEO; CRM; Data Visualization; Market Research; Communication"
Sales Development Representative,CloudNorth SaaS,Montreal,QC,Full-time,Entry-level,0,2,48000,70000,2026-06-02,Sample Dataset,https://example.com/jobs/1039,"Prospect new accounts, qualify leads, and maintain CRM pipeline data.","CRM; Communication; Customer Service; Market Research; Excel; Stakeholder Management"
Operations Coordinator,GreenLine Transit,Mississauga,ON,Full-time,Entry-level,0,2,50000,65000,2026-06-03,Sample Dataset,https://example.com/jobs/1040,"Coordinate schedules, track service KPIs, and support operational reporting.","Excel; KPI Reporting; Process Mapping; Documentation; Communication; Vendor Management"
Operations Analyst,Frost Logistics,Calgary,AB,Full-time,Junior,1,3,61000,78000,2026-06-04,Sample Dataset,https://example.com/jobs/1041,"Analyze operations metrics, identify process gaps, and improve reporting workflows.","Excel; SQL; Process Mapping; Data Visualization; KPI Reporting; Project Management"
